id,year,url_live,url_wayback
2018-0183,2018,https://www.aepd.es/documento/2018-0183.pdf,https://web.archive.org/web/20250413170845id_/https://www.aepd.es/documento/2018-0183.pdf
2019-0001,2019,https://www.aepd.es/documento/2019-0001.pdf,https://web.archive.org/web/20240518185831id_/https://www.aepd.es/documento/2019-0001.pdf
2019-0002,2019,https://www.aepd.es/documento/2019-0002.pdf,https://web.archive.org/web/20231001143215id_/https://www.aepd.es/documento/2019-0002.pdf
2019-0007,2019,https://www.aepd.es/documento/2019-0007.pdf,https://web.archive.org/web/20240329171727id_/https://www.aepd.es/documento/2019-0007.pdf
2019-0008,2019,https://www.aepd.es/documento/2019-0008.pdf,https://web.archive.org/web/20240326011124id_/https://www.aepd.es/documento/2019-0008.pdf
2019-0013,2019,https://www.aepd.es/documento/2019-0013.pdf,https://web.archive.org/web/20231014052157id_/https://www.aepd.es/documento/2019-0013.pdf
2019-0017,2019,https://www.aepd.es/documento/2019-0017.pdf,https://web.archive.org/web/20221005071323id_/https://www.aepd.es/documento/2019-0017.pdf
2019-0030,2019,https://www.aepd.es/documento/2019-0030.pdf,https://web.archive.org/web/20231014065934id_/https://www.aepd.es/documento/2019-0030.pdf
2019-0031,2019,https://www.aepd.es/documento/2019-0031.pdf,https://web.archive.org/web/20220806063030id_/https://www.aepd.es/documento/2019-0031.pdf
2019-0036,2019,https://www.aepd.es/documento/2019-0036.pdf,https://web.archive.org/web/20221211101916id_/https://www.aepd.es/documento/2019-0036.pdf
2019-0039,2019,https://www.aepd.es/documento/2019-0039.pdf,https://web.archive.org/web/20240520182936id_/https://www.aepd.es/documento/2019-0039.pdf
2019-0043,2019,https://www.aepd.es/documento/2019-0043.pdf,https://web.archive.org/web/20221005060156id_/https://www.aepd.es/documento/2019-0043.pdf
2019-0044,2019,https://www.aepd.es/documento/2019-0044.pdf,https://web.archive.org/web/20240331104426id_/https://www.aepd.es/documento/2019-0044.pdf
2019-0046,2019,https://www.aepd.es/documento/2019-0046.pdf,https://web.archive.org/web/20220806102831id_/https://www.aepd.es/documento/2019-0046.pdf
2019-0050,2019,https://www.aepd.es/documento/2019-0050.pdf,https://web.archive.org/web/20240330174731id_/https://www.aepd.es/documento/2019-0050.pdf
2019-0074,2019,https://www.aepd.es/es/documento/2019-0074.pdf,https://web.archive.org/web/20220120214623id_/https://www.aepd.es/es/documento/2019-0074.pdf
2019-0081,2019,https://www.aepd.es/documento/2019-0081.pdf,https://web.archive.org/web/20240518225339id_/https://www.aepd.es/documento/2019-0081.pdf
2019-0082,2019,https://www.aepd.es/documento/2019-0082.pdf,https://web.archive.org/web/20231014032448id_/https://www.aepd.es/documento/2019-0082.pdf
2019-0100,2019,https://www.aepd.es/documento/2019-0100.pdf,https://web.archive.org/web/20231014090926id_/https://www.aepd.es/documento/2019-0100.pdf
2019-0101,2019,https://www.aepd.es/documento/2019-0101.pdf,https://web.archive.org/web/20231014010247id_/https://www.aepd.es/documento/2019-0101.pdf
2019-0107,2019,https://www.aepd.es/documento/2019-0107.pdf,https://web.archive.org/web/20240419210219id_/https://www.aepd.es/documento/2019-0107.pdf
2019-0117,2019,https://www.aepd.es/documento/2019-0117.pdf,https://web.archive.org/web/20231014035231id_/https://www.aepd.es/documento/2019-0117.pdf
2019-0148,2019,https://www.aepd.es/documento/2019-0148.pdf,https://web.archive.org/web/20231014071910id_/https://www.aepd.es/documento/2019-0148.pdf
2019-0149,2019,https://www.aepd.es/documento/2019-0149.pdf,https://web.archive.org/web/20231014064933id_/https://www.aepd.es/documento/2019-0149.pdf
2020-0012,2020,https://www.aepd.es/es/documento/2020-0012.pdf,https://web.archive.org/web/20201117172754id_/https://www.aepd.es/es/documento/2020-0012.pdf
2020-0017,2020,https://www.aepd.es/documen-to/2020-0017.pdf,https://web.archive.org/web/20240616171537id_/https://www.aepd.es/documen-to/2020-0017.pdf
2020-0029,2020,https://www.aepd.es/es/documento/2020-0029.pdf,https://web.archive.org/web/20230530041418id_/https://www.aepd.es/es/documento/2020-0029.pdf
2020-0036,2020,https://www.aepd.es/documento/2020-0036.pdf,https://web.archive.org/web/20221211080423id_/https://www.aepd.es/documento/2020-0036.pdf
2020-0037,2020,https://www.aepd.es/documento/2020-0037.pdf,https://web.archive.org/web/20231014022901id_/https://www.aepd.es/documento/2020-0037.pdf
2020-0049,2020,https://www.aepd.es/documento/2020-0049.pdf,https://web.archive.org/web/20240321042536id_/https://www.aepd.es/documento/2020-0049.pdf
2020-0057,2020,https://www.aepd.es/documento/2020-0057.pdf,https://web.archive.org/web/20240528033434id_/https://www.aepd.es/documento/2020-0057.pdf
2020-0059,2020,https://www.aepd.es/documento/2020-0059.pdf,https://web.archive.org/web/20231014113739id_/https://www.aepd.es/documento/2020-0059.pdf
2020-0064,2020,https://www.aepd.es/documento/2020-0064.pdf,https://web.archive.org/web/20231014124034id_/https://www.aepd.es/documento/2020-0064.pdf
2020-0073,2020,https://www.aepd.es/documento/2020-0073.pdf,https://web.archive.org/web/20230921132042id_/https://www.aepd.es/documento/2020-0073.pdf
2020-0074,2020,https://www.aepd.es/documento/2020-0074.pdf,https://web.archive.org/web/20231014091640id_/https://www.aepd.es/documento/2020-0074.pdf
2020-0075,2020,https://www.aepd.es/documento/2020-0075.pdf,https://web.archive.org/web/20240601161802id_/https://www.aepd.es/documento/2020-0075.pdf
2020-0077,2020,https://www.aepd.es/documento/2020-0077.pdf,https://web.archive.org/web/20231015034557id_/https://www.aepd.es/documento/2020-0077.pdf
2020-0078,2020,https://www.aepd.es/documento/2020-0078.pdf,https://web.archive.org/web/20240518201817id_/https://www.aepd.es/documento/2020-0078.pdf
2020-0079,2020,https://www.aepd.es/documento/2020-0079.pdf,https://web.archive.org/web/20231014155850id_/https://www.aepd.es/documento/2020-0079.pdf
2020-0083,2020,https://www.aepd.es/documento/2020-0083.pdf,https://web.archive.org/web/20231014000714id_/https://www.aepd.es/documento/2020-0083.pdf
2020-0086,2020,https://www.aepd.es/documento/2020-0086.pdf,https://web.archive.org/web/20231001151414id_/https://www.aepd.es/documento/2020-0086.pdf
2020-0088,2020,https://www.aepd.es/documento/2020-0088.pdf,https://web.archive.org/web/20231014062937id_/https://www.aepd.es/documento/2020-0088.pdf
2020-0089,2020,https://www.aepd.es/documento/2020-0089.pdf,https://web.archive.org/web/20231014075952id_/https://www.aepd.es/documento/2020-0089.pdf
2020-0097,2020,https://www.aepd.es/documento/2020-0097.pdf,https://web.archive.org/web/20230921130702id_/https://www.aepd.es/documento/2020-0097.pdf
2020-0098,2020,https://www.aepd.es/documento/2020-0098.pdf,https://web.archive.org/web/20231015051150id_/https://www.aepd.es/documento/2020-0098.pdf
2020-0099,2020,https://www.aepd.es/documento/2020-0099.pdf,https://web.archive.org/web/20250611221328id_/https://www.aepd.es/documento/2020-0099.pdf
2021-0003,2021,https://www.aepd.es/documento/2021-0003.pdf,https://web.archive.org/web/20231015144542id_/https://www.aepd.es/documento/2021-0003.pdf
2021-0007,2021,https://www.aepd.es/documento/2021-0007.pdf,https://web.archive.org/web/20240518231620id_/https://www.aepd.es/documento/2021-0007.pdf
2021-0012,2021,https://www.aepd.es/documento/2021-0012.pdf,https://web.archive.org/web/20231014061135id_/https://www.aepd.es/documento/2021-0012.pdf
2021-0013,2021,https://www.aepd.es/es/documento/2021-0013.pdf,https://web.archive.org/web/20210517062144id_/https://www.aepd.es/es/documento/2021-0013.pdf
2021-0014,2021,https://www.aepd.es/documento/2021-0014.pdf,https://web.archive.org/web/20210504170753id_/https://www.aepd.es/documento/2021-0014.pdf
2021-0018,2021,https://www.aepd.es/documento/2021-0018.pdf,https://web.archive.org/web/20231014081921id_/https://www.aepd.es/documento/2021-0018.pdf
2021-0020,2021,https://www.aepd.es/es/documento/2021-0020.pdf,https://web.archive.org/web/20211114200925id_/https://www.aepd.es/es/documento/2021-0020.pdf
2021-0025,2021,https://www.aepd.es/documento/2021-0025.pdf,https://web.archive.org/web/20231014101402id_/https://www.aepd.es/documento/2021-0025.pdf
2021-0026,2021,https://www.aepd.es/documento/2021-0026.pdf,https://web.archive.org/web/20231015041757id_/https://www.aepd.es/documento/2021-0026.pdf
2021-0029,2021,https://www.aepd.es/es/documento/2021-0029.pdf,https://web.archive.org/web/20240518202525id_/https://www.aepd.es/es/documento/2021-0029.pdf
2021-0030,2021,https://www.aepd.es/documento/2021-0030.pdf,https://web.archive.org/web/20220806184001id_/https://www.aepd.es/documento/2021-0030.pdf
2021-0032,2021,https://www.aepd.es/documento/2021-0032.pdf,https://web.archive.org/web/20231015031048id_/https://www.aepd.es/documento/2021-0032.pdf
2021-0035,2021,https://www.aepd.es/documento/2021-0035.pdf,https://web.archive.org/web/20221005061531id_/https://www.aepd.es/documento/2021-0035.pdf
2021-0037,2021,https://www.aepd.es/documento/2021-0037.pdf,https://web.archive.org/web/20240519085100id_/https://www.aepd.es/documento/2021-0037.pdf
2021-0038,2021,https://www.aepd.es/documento/2021-0038.pdf,https://web.archive.org/web/20231014225224id_/https://www.aepd.es/documento/2021-0038.pdf
2021-0046,2021,https://www.aepd.es/documento/2021-0046.pdf,https://web.archive.org/web/20221005053904id_/https://www.aepd.es/documento/2021-0046.pdf
2021-0047,2021,https://www.aepd.es/documento/2021-0047.pdf,https://web.archive.org/web/20231019000443id_/https://www.aepd.es/documento/2021-0047.pdf
2021-0051,2021,https://www.aepd.es/documento/2021-0051.pdf,https://web.archive.org/web/20231014002215id_/https://www.aepd.es/documento/2021-0051.pdf
2021-0052,2021,https://www.aepd.es/es/documento/2021-0052.pdf,https://web.archive.org/web/20211124210220id_/https://www.aepd.es/es/documento/2021-0052.pdf
2021-0059,2021,https://www.aepd.es/documento/2021-0059.pdf,https://web.archive.org/web/20240603004415id_/https://www.aepd.es/documento/2021-0059.pdf
2021-0060,2021,https://www.aepd.es/documento/2021-0060.pdf,https://web.archive.org/web/20220805213746id_/https://www.aepd.es/documento/2021-0060.pdf
2021-0064,2021,https://www.aepd.es/documento/2021-0064.pdf,https://web.archive.org/web/20220525084933id_/https://www.aepd.es/documento/2021-0064.pdf
2021-0066,2021,https://www.aepd.es/documento/2021-0066.pdf,https://web.archive.org/web/20250611221323id_/https://www.aepd.es/documento/2021-0066.pdf
2021-0070,2021,https://www.aepd.es/documento/2021-0070.pdf,https://web.archive.org/web/20231014105015id_/https://www.aepd.es/documento/2021-0070.pdf
2021-0080,2021,https://www.aepd.es/documento/2021-0080.pdf,https://web.archive.org/web/20231015012007id_/https://www.aepd.es/documento/2021-0080.pdf
2021-0084,2021,https://www.aepd.es/documento/2021-0084.pdf,https://web.archive.org/web/20231014015603id_/https://www.aepd.es/documento/2021-0084.pdf
2021-0085,2021,https://www.aepd.es/documento/2021-0085.pdf,https://web.archive.org/web/20231013234502id_/https://www.aepd.es/documento/2021-0085.pdf
2022-0001,2022,https://www.aepd.es/documento/2022-0001.pdf,https://web.archive.org/web/20240518234154id_/https://www.aepd.es/documento/2022-0001.pdf
2022-0002,2022,https://www.aepd.es/documento/2022-0002.pdf,https://web.archive.org/web/20231014011547id_/https://www.aepd.es/documento/2022-0002.pdf
2022-0004,2022,https://www.aepd.es/documento/2022-0004.pdf,https://web.archive.org/web/20231014030047id_/https://www.aepd.es/documento/2022-0004.pdf
2022-0019,2022,https://www.aepd.es/documento/2022-0019.pdf,https://web.archive.org/web/20231014001322id_/https://www.aepd.es/documento/2022-0019.pdf
2022-0020,2022,https://www.aepd.es/es/documento/2022-0020.pdf,https://web.archive.org/web/20230509145853id_/https://www.aepd.es/es/documento/2022-0020.pdf
2022-0022,2022,http://www.aepd.es/es/documento/2022-0022.pdf,https://web.archive.org/web/20240518193927id_/http://www.aepd.es/es/documento/2022-0022.pdf
2022-0028,2022,https://www.aepd.es/documento/2022-0028.pdf,https://web.archive.org/web/20240519003532id_/https://www.aepd.es/documento/2022-0028.pdf
2022-0032,2022,https://www.aepd.es/documento/2022-0032.pdf,https://web.archive.org/web/20250908192432id_/https://www.aepd.es/documento/2022-0032.pdf
2022-0036,2022,http://www.aepd.es/documen-to/2022-0036.pdf,https://web.archive.org/web/20250607060732id_/http://www.aepd.es/documen-to/2022-0036.pdf
2022-0037,2022,https://www.aepd.es/documento/2022-0037.pdf,https://web.archive.org/web/20240519013757id_/https://www.aepd.es/documento/2022-0037.pdf
2022-0041,2022,https://www.aepd.es/documento/2022-0041.pdf,https://web.archive.org/web/20231014013047id_/https://www.aepd.es/documento/2022-0041.pdf
2022-0057,2022,https://www.aepd.es/documento/2022-0057.pdf,https://web.archive.org/web/20240518210503id_/https://www.aepd.es/documento/2022-0057.pdf
2022-0058,2022,https://www.aepd.es/documento/2022-0058.pdf,https://web.archive.org/web/20240518223759id_/https://www.aepd.es/documento/2022-0058.pdf
2022-0079,2022,https://www.aepd.es/documento/2022-0079.pdf,https://web.archive.org/web/20240515084611id_/https://www.aepd.es/documento/2022-0079.pdf
2022-0097,2022,https://www.aepd.es/documento/2022-0097.pdf,https://web.archive.org/web/20240519010314id_/https://www.aepd.es/documento/2022-0097.pdf
2022-0098,2022,https://www.aepd.es/documento/2022-0098.pdf,https://web.archive.org/web/20231014114736id_/https://www.aepd.es/documento/2022-0098.pdf
2023-0007,2023,https://www.aepd.es/documento/2023-0007.pdf,https://web.archive.org/web/20240518152436id_/https://www.aepd.es/documento/2023-0007.pdf
2023-0013,2023,https://www.aepd.es/documento/2023-0013.pdf,https://web.archive.org/web/20231014051203id_/https://www.aepd.es/documento/2023-0013.pdf
2023-0032,2023,https://www.aepd.es/es/documento/2023-0032.pdf,https://web.archive.org/web/20240520191042id_/https://www.aepd.es/es/documento/2023-0032.pdf
2023-0038,2023,http://www.aepd.es/informes-y-resoluciones/informes-juridicos?search_api_fulltext=2023-0038&sort_bef_combine=fecha_publicacion_DESC%20https://www.aepd.es/documento/2023-0038.pdf,https://web.archive.org/web/20260128065115id_/http://www.aepd.es/informes-y-resoluciones/informes-juridicos?search_api_fulltext=2023-0038&sort_bef_combine=fecha_publicacion_DESC%20https://www.aepd.es/documento/2023-0038.pdf
2023-0040,2023,https://www.aepd.es/documento/2023-0040.pdf,https://web.archive.org/web/20231001145545id_/https://www.aepd.es/documento/2023-0040.pdf
2023-0041,2023,http://www.aepd.es/es/documento/2023-0041.pdf,https://web.archive.org/web/20240518222147id_/http://www.aepd.es/es/documento/2023-0041.pdf
2023-0045,2023,https://www.aepd.es/documento/2023-0045.pdf,https://web.archive.org/web/20240518104534id_/https://www.aepd.es/documento/2023-0045.pdf
2023-0047,2023,https://www.aepd.es/documento/2023-0047.pdf,https://web.archive.org/web/20231014011523id_/https://www.aepd.es/documento/2023-0047.pdf
2023-0048,2023,https://www.aepd.es/documento/2023-0048.pdf,https://web.archive.org/web/20231001013936id_/https://www.aepd.es/documento/2023-0048.pdf
2023-0049,2023,https://www.aepd.es/documento/2023-0049.pdf,https://web.archive.org/web/20231014022541id_/https://www.aepd.es/documento/2023-0049.pdf
2023-0050,2023,https://www.aepd.es/documento/2023-0050.pdf,https://web.archive.org/web/20240316111115id_/https://www.aepd.es/documento/2023-0050.pdf
2023-0052,2023,https://www.aepd.es/documento/2023-0052.pdf,https://web.archive.org/web/20231014042214id_/https://www.aepd.es/documento/2023-0052.pdf
2023-0054,2023,https://www.aepd.es/es/documento/2023-0054.pdf,https://web.archive.org/web/20230614102612id_/https://www.aepd.es/es/documento/2023-0054.pdf
2023-0055,2023,https://www.aepd.es/documento/2023-0055.pdf,https://web.archive.org/web/20231014012833id_/https://www.aepd.es/documento/2023-0055.pdf
2023-0059,2023,https://www.aepd.es/documento/2023-0059.pdf,https://web.archive.org/web/20231013232206id_/https://www.aepd.es/documento/2023-0059.pdf
2023-0066,2023,https://www.aepd.es/documento/2023-0066.pdf,https://web.archive.org/web/20240518102823id_/https://www.aepd.es/documento/2023-0066.pdf
2023-0077,2023,https://www.aepd.es/documento/2023-0077.pdf,https://web.archive.org/web/20240417063630id_/https://www.aepd.es/documento/2023-0077.pdf
2024-0015,2024,https://www.aepd.es/documento/2024-0015.pdf,https://web.archive.org/web/20241031070115id_/https://www.aepd.es/documento/2024-0015.pdf
2024-0017,2024,https://www.aepd.es/documento/2024-0017.pdf,https://web.archive.org/web/20240707065759id_/https://www.aepd.es/documento/2024-0017.pdf
